minute,class,TVC,MQ135,MQ2,MQ3,Humidity,Temperature
1,excellent,2.56736445,22.86,29.56,14.83,55.1,34.6
2,excellent,2.567619643,22.75,29.72,14.83,55.1,34.6
3,excellent,2.567877972,22.75,29.72,14.83,55.1,34.6
4,excellent,2.568139474,22.86,29.56,14.77,55.4,34.5
5,excellent,2.568404186,23.07,29.56,14.83,55.4,34.4
6,excellent,2.568672146,23.18,29.41,14.77,55.4,34.4
7,excellent,2.568943391,23.07,28.96,14.77,55.4,34.4
8,excellent,2.569217959,23.28,28.96,14.71,55.4,34.4
9,excellent,2.569495889,22.96,29.26,14.77,55.4,34.5
10,excellent,2.569777221,23.07,29.11,14.71,55.4,34.5
11,excellent,2.570061992,22.75,29.56,14.83,55.8,34.5
12,excellent,2.570350244,22.96,29.26,14.71,55.8,34.5
13,excellent,2.570642017,23.18,29.26,14.71,55.8,34.4
14,excellent,2.57093735,23.07,29.11,14.77,55.8,34.4
15,excellent,2.571236285,22.96,29.87,14.83,55.8,34.4
16,excellent,2.571538863,23.39,29.87,14.95,55.8,34.3
17,excellent,2.571845127,23.18,29.87,14.77,55.8,34.3
18,excellent,2.572155118,23.5,29.41,14.71,55.8,34.2
19,excellent,2.572468879,23.18,29.87,14.83,55.8,34.2
20,excellent,2.572786453,23.39,29.87,14.83,55.8,34.2
21,excellent,2.573107884,23.61,29.56,14.71,55.8,34.1
22,excellent,2.573433215,23.61,29.41,14.71,56.2,34.1
23,excellent,2.573762491,23.5,29.56,14.71,56.2,34.1
24,excellent,2.574095757,23.61,29.72,14.83,56.2,34.1
25,excellent,2.574433058,23.72,29.56,14.71,56.2,34.1
26,excellent,2.574774439,23.39,29.87,14.71,56.2,34.1
27,excellent,2.575119947,23.61,29.41,14.77,56.2,34.0
28,excellent,2.575469629,25.85,28.09,14.83,56.2,33.9
29,excellent,2.57582353,25.85,28.23,14.95,56.2,34.0
30,excellent,2.576181699,26.1,27.81,14.83,56.2,34.0
31,excellent,2.576544184,25.85,28.09,14.95,56.2,34.1
32,excellent,2.576911033,25.72,27.95,14.89,56.2,34.1
33,excellent,2.577282294,25.85,27.95,14.83,56.2,34.1
34,excellent,2.577658017,25.85,27.81,14.89,56.2,34.1
35,excellent,2.578038252,26.1,27.67,14.77,56.2,34.2
36,excellent,2.578423048,26.1,27.67,14.83,56.2,34.1
37,excellent,2.578812457,25.85,27.67,14.89,56.2,34.1
38,excellent,2.579206529,25.85,27.67,14.89,56.2,34.1
39,excellent,2.579605316,25.85,27.53,14.89,56.2,34.1
40,excellent,2.58000887,25.72,27.53,14.83,56.2,34.1
41,excellent,2.580417243,26.1,27.25,14.77,56.2,34.1
42,excellent,2.580830489,25.85,27.53,14.89,56.2,34.1
43,excellent,2.581248661,25.72,27.53,14.83,56.2,34.1
44,excellent,2.581671812,25.97,27.25,14.77,56.2,34.1
45,excellent,2.582099998,26.1,27.12,14.77,56.2,34.1
46,excellent,2.582533272,25.85,27.25,14.83,56.2,34.1
47,excellent,2.582971691,26.1,27.12,14.71,56.2,34.1
48,excellent,2.58341531,25.72,27.25,14.71,56.2,34.1
49,excellent,2.583864184,25.72,27.12,14.36,56.5,34.1
50,excellent,2.584318372,26.1,27.12,14.71,56.5,33.9
51,excellent,2.58477793,25.72,27.39,14.83,56.5,34.0
52,excellent,2.585242917,26.1,27.12,14.83,56.5,33.9
53,excellent,2.585713389,25.6,27.95,14.71,56.5,33.9
54,excellent,2.586189406,24.29,26.2,14.47,56.5,33.9
55,excellent,2.586671027,24.29,26.07,14.53,56.5,33.9
56,excellent,2.587158312,24.17,26.07,14.53,56.5,33.9
57,excellent,2.587651321,24.17,26.07,14.53,56.5,33.9
58,excellent,2.588150114,23.95,26.2,14.59,56.5,33.9
59,excellent,2.588654753,23.95,25.82,14.36,56.5,33.8
60,excellent,2.589165299,23.72,26.2,14.42,56.5,33.9
61,excellent,2.589681814,23.72,26.07,14.53,56.5,33.8
62,excellent,2.590204361,23.95,26.07,14.53,56.5,33.8
63,excellent,2.590733003,23.61,26.46,14.59,56.5,33.8
64,excellent,2.591267804,23.72,26.46,14.65,56.5,33.8
65,excellent,2.591808827,23.61,25.82,14.36,56.5,33.8
66,excellent,2.592356136,23.39,25.82,14.36,56.5,33.5
67,excellent,2.592909798,22.96,25.69,14.3,56.5,33.8
68,excellent,2.593469877,22.54,25.69,14.13,56.5,33.8
69,excellent,2.59403644,22.24,24.96,13.96,56.5,33.8
70,excellent,2.594609552,21.93,24.72,13.9,56.5,33.9
71,excellent,2.595189282,20.6,23.69,13.35,56.5,33.8
72,excellent,2.595775695,20.42,23.47,13.3,56.5,33.7
73,excellent,2.596368861,20.24,23.47,13.35,56.5,33.7
74,excellent,2.596968847,19.45,22.83,12.98,56.5,33.6
75,excellent,2.597575723,18.87,22.2,12.78,56.5,33.6
76,excellent,2.598189557,18.87,21.9,12.78,56.5,33.6
77,excellent,2.598810419,21.64,24.14,14.13,56.5,33.7
78,excellent,2.599438381,18.47,23.04,13.09,56.5,33.7
79,excellent,2.600073512,20.97,24.03,13.9,56.5,33.7
80,excellent,2.600715883,22.03,24.72,14.36,56.5,33.7
81,excellent,2.601365567,22.24,25.32,14.42,56.5,33.8
82,excellent,2.602022635,22.34,25.32,14.47,56.5,33.7
83,excellent,2.60268716,22.54,25.82,14.53,56.5,33.8
84,excellent,2.603359215,22.54,26.2,14.59,56.5,33.8
85,excellent,2.604038874,22.65,26.46,14.59,56.5,33.8
86,excellent,2.60472621,22.65,26.59,14.59,56.5,33.8
87,excellent,2.605421298,22.65,26.72,14.59,56.5,33.9
88,excellent,2.606124213,22.75,26.85,14.59,56.5,33.8
89,excellent,2.606835029,22.75,26.98,14.59,56.5,33.8
90,excellent,2.607553823,22.75,26.98,14.59,56.5,33.8
91,excellent,2.608280671,22.75,26.98,14.59,56.5,33.8
92,excellent,2.609015649,22.75,26.85,14.59,56.5,33.8
93,excellent,2.609758834,22.75,26.85,14.59,56.5,33.7
94,excellent,2.610510304,22.75,26.85,14.59,56.5,33.7
95,excellent,2.611270136,22.86,26.98,14.59,56.5,33.7
96,excellent,2.612038409,22.86,26.98,14.59,56.5,33.7
97,excellent,2.612815201,22.65,26.85,14.59,56.5,33.7
98,excellent,2.613600591,22.65,26.46,14.59,56.5,33.7
99,excellent,2.614394659,22.65,26.85,14.53,56.5,33.7
100,excellent,2.615197484,22.54,26.72,14.53,56.5,33.7
101,excellent,2.616009146,22.44,26.72,14.53,56.5,33.7
102,excellent,2.616829726,22.24,26.46,14.42,56.5,33.7
103,excellent,2.617659306,22.14,26.33,14.36,56.5,33.7
104,excellent,2.618497965,22.03,26.46,14.36,56.5,33.7
105,excellent,2.619345786,21.64,26.07,14.24,56.5,33.7
106,excellent,2.62020285,20.24,26.07,13.68,56.5,33.8
107,excellent,2.62106924,20.51,24.96,13.84,56.5,33.8
108,excellent,2.621945038,20.15,24.72,13.62,56.5,33.8
109,excellent,2.622830328,20.06,24.37,13.68,56.5,33.8
110,excellent,2.623725193,21.16,25.44,14.24,56.5,33.8
111,excellent,2.624629715,21.35,25.82,14.3,56.5,33.8
112,excellent,2.625543979,21.54,26.2,14.36,56.5,33.8
113,excellent,2.626468069,21.74,26.46,14.42,56.5,33.9
114,excellent,2.627402069,21.93,26.72,14.47,56.5,33.9
115,excellent,2.628346065,21.93,26.72,14.47,56.5,33.9
116,excellent,2.62930014,22.03,26.85,14.47,56.5,33.9
117,excellent,2.63026438,22.03,26.98,14.42,56.5,33.9
118,excellent,2.631238871,22.14,27.39,14.59,56.5,34.1
119,excellent,2.632223698,22.14,27.53,14.59,56.5,34.1
120,excellent,2.633218946,22.34,27.53,14.59,56.5,34.1
121,excellent,2.634224703,22.24,27.67,14.53,56.5,34.1
122,excellent,2.635241054,22.34,27.53,14.59,56.5,34.1
123,excellent,2.636268085,22.44,27.53,14.59,56.5,34.1
124,excellent,2.637305884,22.54,27.67,14.65,56.5,34.1
125,excellent,2.638354537,22.75,27.95,14.71,56.5,34.3
126,excellent,2.639414131,22.75,28.09,14.71,56.5,34.3
127,excellent,2.640484752,22.75,27.95,14.65,56.5,34.3
128,excellent,2.64156649,22.65,27.95,14.59,56.5,34.3
129,excellent,2.642659429,22.65,28.09,14.59,56.5,34.3
130,excellent,2.643763659,19.54,24.96,13.41,56.5,34.5
131,excellent,2.644879266,21.74,27.12,14.53,56.5,34.4
132,excellent,2.646006338,21.64,27.25,14.47,56.5,34.5
133,excellent,2.647144963,21.64,27.12,14.42,56.5,34.4
134,excellent,2.648295228,21.54,27.12,14.42,56.5,34.5
135,excellent,2.649457221,21.64,27.25,14.47,56.5,34.5
136,excellent,2.650631031,21.64,27.25,14.53,56.5,34.4
137,excellent,2.651816744,21.64,27.39,14.53,56.5,34.4
138,excellent,2.653014449,21.64,27.25,14.53,56.5,34.4
139,excellent,2.654224232,21.74,27.39,14.59,56.5,34.4
140,excellent,2.655446183,21.74,27.39,14.59,56.5,34.4
141,excellent,2.656680388,21.64,27.39,14.59,56.5,34.5
142,excellent,2.657926936,21.64,27.53,14.59,56.5,34.5
143,excellent,2.659185913,21.64,27.53,14.59,56.5,34.5
144,excellent,2.660457407,21.64,27.53,14.59,56.5,34.5
